model,compute_units,mean_ms,median_ms
MobileNetV2_fp16,all,0.48175996,0.470041
MobileNetV2_fp16,cpuOnly,2.1406750199999998,2.137292
MobileNetV2_fp16,cpuAndGPU,1.8301933800000003,1.89375
MobileNetV2_fp16,cpuAndNeuralEngine,0.49579999999999985,0.492125
ResNet50_fp16,all,1.3258833199999998,1.318042
ResNet50_fp16,cpuOnly,5.682415040000002,5.648583
ResNet50_fp16,cpuAndGPU,4.668385820000001,4.662208
ResNet50_fp16,cpuAndNeuralEngine,1.3187849600000001,1.314917
SimpleMLP_fp16,all,0.23504329999999993,0.235625
SimpleMLP_fp16,cpuOnly,0.18655083999999994,0.185209
SimpleMLP_fp16,cpuAndGPU,0.19834754,0.197042
SimpleMLP_fp16,cpuAndNeuralEngine,0.20879494000000004,0.20775
DistilBERT_fp16,all,0.2621566799999999,0.254916
DistilBERT_fp16,cpuOnly,0.24004004000000007,0.2365
DistilBERT_fp16,cpuAndGPU,0.9905565999999998,0.921959
DistilBERT_fp16,cpuAndNeuralEngine,0.25397502000000005,0.250583
TinyGPT_fp16,all,1.04613754,1.112792
TinyGPT_fp16,cpuOnly,0.18303422000000008,0.177875
TinyGPT_fp16,cpuAndGPU,0.80746578,0.686666
TinyGPT_fp16,cpuAndNeuralEngine,0.5833706999999999,0.562208
